close,high,low,open,startDate,startTime
21079.984285714287,21080.412857142856,21079.984285714287,21080.412857142856,2022/07/26,08:40:00
21080.412857142856,21081.51142857143,21062.768571428573,21076.821428571428,2022/07/26,08:35:00
21075.65142857143,21085.29857142857,21065.974285714285,21071.22142857143,2022/07/26,08:30:00
21071.454285714284,21081.96,21052.722857142857,21053.404285714285,2022/07/26,08:25:00
21053.497142857144,21058.205714285716,21022.362857142856,21047.268571428573,2022/07/26,08:20:00
21046.567142857144,21046.567142857144,20997.134285714284,21021.37714285714,2022/07/26,08:15:00
21021.52,21063.562857142857,21018.497142857144,21046.318571428572,2022/07/26,08:10:00
21047.747142857144,21084.614285714284,21047.454285714284,21050.01714285714,2022/07/26,08:05:00
21051.17,21089.335714285713,21051.17,21069.065714285713,2022/07/26,08:00:00
21067.54142857143,21100.27,21059.317142857144,21074.22142857143,2022/07/26,07:55:00
21074.22142857143,21081.60142857143,21042.14285714286,21066.538571428573,2022/07/26,07:50:00
21066.538571428573,21087.12,21060.44142857143,21061.807142857142,2022/07/26,07:45:00
21060.862857142856,21099.667142857143,21060.43857142857,21092.27,2022/07/26,07:40:00
21092.43,21113.628571428573,21086.572857142855,21113.628571428573,2022/07/26,07:35:00
21115.507142857143,21136.878571428573,21115.095714285715,21136.878571428573,2022/07/26,07:30:00
21138.53714285714,21139.17,21119.992857142857,21122.70142857143,2022/07/26,07:25:00
21122.03142857143,21128.095714285715,21107.40142857143,21124.18857142857,2022/07/26,07:20:00
21123.11857142857,21127.57857142857,21028.08,21113.837142857144,2022/07/26,07:15:00
21112.884285714284,21127.84857142857,21101.684285714287,21106.007142857143,2022/07/26,07:10:00
21105.827142857142,21105.97,21071.83,21083.254285714287,2022/07/26,07:05:00
21084.032857142858,21093.44,21077.424285714285,21084.492857142857,2022/07/26,07:00:00
21084.492857142857,21090.77,21075.024285714284,21081.59,2022/07/26,06:55:00
21082.74,21089.2,21071.88142857143,21088.571428571428,2022/07/26,06:50:00
